Slang,Definition,Origin/Context,is_nsfw
out of pocket,"To act (or say something) crazy, wild, unexpected, or extreme, sometimes to an extent that is considered too far; or unavailable.","Originally rooted in African American Vernacular English (AAVE) to mean being unreachable or lacking funds, the term evolved to describe someone acting inappropriately or erratically. Today, it is primarily used to call out someone for saying or doing something that crosses a boundary or is shockingly unexpected.",False
Overachiever,"Someone who is overly ambitious, always wants to be perfect, and often exceeds targets, usually in an academic or work context.","Example sentence: She's a total overachiever, always aiming for perfect grades. (He was very ambitious, always chasing perfect grades.)",False
owned,"Used to refer to defeat in a video game, or domination of an opposition.",Also less commonly used to describe defeat in sports. Originated in the 1990s as a term used to describe hackers gaining administrative control over another person's computer.,False
Pass,"Academic assessment system. Pass/fail means that there are only two outcomes in the assessment, i.e. pass or fail, without a numeric or letter value.",Example sentence: I'm taking this course as pass/fail. (I took this course on a pass/fail system.),False
File,"Academic assessment system. Pass/fail means that there are only two outcomes in the assessment, i.e. pass or fail, without a numeric or letter value.",Example sentence: I'm taking this course as pass/fail. (I took this course on a pass/fail system.),False
Peeps,"The slang version of people, means friends or gang. Often used in the context of casual conversation.",Example sentence: Going to the mall with my peeps. (Went to the mall with my friends.),False
Pencil pusher,"This term is generally somewhat derogative, used to refer to someone whose job is only in the administrative part or monotonous office work, without creative challenges.",Example sentence: He left his job as a pencil pusher to become a chef. (He quit his administrative job to become a chef.),False
Period,Affirming something.,"""I'm gonna wear a dress today."" ""Period!""",False
periodt,"Used as an interjection to indicate that the preceding statement is final and that there is nothing more to be said about it; similar to the British term ""full stop"".","Originated as ""period"" in the early 1900s, spread in the 2010s via the City Girls rap duo and Black Twitter, and entered into the mainstream by 2019. The addition of the T stems from a common trend in Black English where T is used as a replacement for D.",False
Perk,Perk is a slang that is commonly used in the world of work to indicate additional facilities that an office/company provides in addition to the basic salary. It's usually in the form of things that make work much more fun.,Example sentence: One of the perks of working here is flexible hours. (One of the advantages of working here is flexible working hours.),False
pick me,"Someone who seeks validation by trying to stand out, often putting down others in their gender or group to gain favor or attention.",This is most commonly done by degrading one's self.,False
Pick me girl,"A girl who is overly seeking attention and approval from guys, often by distinguishing herself from ""other girls.""","The term ""pick-me girl"" originated on social media platforms like TikTok and Twitter to describe someone who performs humility or adopts ""traditionally masculine"" interests specifically to appear more desirable to men. It implies that the person is disparaging other women to position themselves as the ""not like other girls"" exception.",False
Pingbacks,"Ping means sending a short message, usually via chat or email to remind or convey something.",Example sentence: Ping me when you're ready. (Just chat with me when you're ready.),False
Pissed,"Angry, upset, or irritated. It can be used to describe someone who is upset or even angry, depending on the context.",Example sentence: I'm so pissed because of you. (I'm so sorry for you.),False
Plug,Another word for drug dealer.,"The term ""plug"" originated in hip-hop culture, referring to someone who acts as a connection or ""link"" to a supply of drugs or other illicit goods. It is now colloquially used to describe anyone who can provide access to hard-to-find items, such as sneakers, tickets, or exclusive merchandise.",False
pmo,"An acronym that stands for ""piss me off"", used to express discontent or anger at a certain topic.",Often utilized alongside ts and icl.,False
Poggers,An expression of excitement or that you think something is really cool.,"Originated as slang for a certain emoji on Twitch, mostly used by gamers.",False
pookie,An endearing nickname for a close friend or lover.,Also used as a pet name.,False
Pop quiz,A term for a surprise quiz at a school or college that is usually not told in advance.,Example sentence: We had a pop quiz in history class today. (Today there is a surprise quiz in History class.),False
POV,"""POV"" stands for ""point of view."" It's used to show that the content being shared (like a video or image) is the creator's personal take on the matter.","Stands for ""point of view""",False
Preppy,"Once referring to a style evocative of preparatory school (think popped collars and cable-knit sweaters), the preppy style now includes neon colors (particularly pink and yellow), elaborate iced Starbucks drinks, extensive skin care routines with trendy product lines, and hinges heavily on wealth and brand-awareness.","On TikTok, #preppy also often includes a genre of ""mean girl"" videos designed to shame people for wearing off-brand clothes, having messy or natural hair, and ""looking poor.""",False
Pressed,Being upset about something.,"""She's acting like our argument didn't even happen. I'm pressed.""",False
Procrastinate,Procrastinating on tasks or work. Usually because they are lazy or tempted by something else.,"Example sentence: Stop procrastinating and start studying. (Don't procrastinate any longer, start studying now.)",False
Pulling,Getting romantic attention/partnership from someone.,"""Woah, did you see who he pulled for prom?""",False
pulled,Getting romantic attention/partnership from someone.,"""Woah, did you see who he pulled for prom?""",False
pushing P,A phrase meaning acting with integrity and style while maintaining and displaying one's success.,"The P in the phrase is most often interpreted as standing for the slang word ""player"". Originated from the song ""Pushin P"" by the rappers Gunna, Future, and Young Thug.",False
Put on blast,To share embarrassing details about somebody publicly.,"""Put on blast"" originated in hip-hop culture during the 1990s, where it referred to publicizing someone's flaws or secrets to ruin their reputation. Today, it is commonly used on social media to describe calling someone out publicly for their poor behavior or embarrassing actions.",False
Put out fires,"Dealing with urgent issues or emergencies that arise suddenly, usually at work.",Example sentence: Managers often spend their day putting out fires. (Managers often spend days dealing with sudden problems.),False
queen,A gay slang term for a homosexual male.,"It was once considered pejorative but has been completely reclaimed, and is often used in combination with other words to describe subcommunities.",False
Quiet quitting,"""Quiet quitting"" refers to the practice of doing the bare minimum required at one's job, without going above and beyond or putting in extra effort. It's a form of disengagement from work.","""Quiet quitting"" gained widespread popularity on TikTok in 2022 as a response to hustle culture, reflecting a shift among Gen Z and Millennials toward prioritizing work-life balance over professional overachievement. It describes the intentional decision to perform only the duties specified in one's job description rather than volunteering for additional, unpaid labor.",False
Quizlet it,"Modern slang that means learning using Quizlet, a platform that allows users to create and use flashcards and other learning aids to memorize vocabulary or concepts.","Example sentence: I didn't study, I just Quizlet-ed everything 5 minutes before class. (I don't study, I just use Quizlet 5 minutes before class.)",False
rage bait,To elicit rage within an individual or group.,"Usually for an increase in web traffic, or personal enjoyment.",False
ratio,"When a post, particularly on X (Twitter), receives more replies than retweets and likes combined.","It can also be used for when a reply has better reception and more likes than the original post being replied to. Originates from the mathematical term ""ratio"" which compares the quantitative relationship between a set of numbers.",False
Real one,"Praise to someone who is faithful, trustworthy, and always by our side.","Example sentence: Thanks for having my back, you're a real one. (Thank you for supporting me, you are a true friend.)",False
Receipts,"In cyberspace, receipts mean evidence in the form of screenshots, chats, or documents that can be used to support a claim, usually in drama or gossip.",Example sentence: She kept the receipts from that drama. (He kept the evidence from the play.),False
red flag,A warning sign indicating behaviors or characteristics within a relationship that may potentially be harmful or toxic.,"Oppositely, a green flag indicates positive aspects or healthy behaviors. The use of the term red flag as a warning traces back to the 18th century. Historically, red flags were used as signals during wars or battles to indicate danger. The term green flag comes from the use of green-colored flags indicating permission to proceed. The concept of 'beige flags' has gained popularity to represent behaviors that are neither positive nor negative, but rather depend on individual preferences or boundaries.",False
Rent free,When something occupies space in your thoughts.,"""I don't even like that song but it lives rent free in my head.""",False
Reply guy,"A ""reply guy"" is a man who persistently and often annoyingly comments on women's social media posts, usually in an unsolicited or inappropriate manner.","The term ""reply guy"" originated on Twitter to describe men who habitually interject into a creator's mentions with unsolicited opinions, unwanted flirty comments, or ""mansplaining."" It is used to mock the performative or desperate nature of men who seek digital attention by consistently cluttering a specific user's notifications.",False
RIP,Used to express sadness or to say something sucks.,"Comes from ""Rest in Peace"" but is pronounced as it's spelled. ""I got an F on my paper, rip me.""",False
RIP me,Used to express sadness or to say something sucks.,"Comes from ""Rest in Peace"" but is pronounced as it's spelled. ""I got an F on my paper, rip me.""",False
rizz,One's charm/seduction skills.,Derived from charisma.,False
RN,Right now.,"""RN"" is an abbreviation for ""right now"" that originated in early text-based communication to save time and character counts. It is commonly used in digital messaging to emphasize the immediacy of a situation or current emotional state.",False
Roman Empire,"A random event, person, incident, or thing that fascinates or intrigues one to the point that one is frequently thinking about it.","Originated in 2023 after influencer Saskia Cort encouraged her Instagram followers to ask their male partners how often they thought about the Roman Empire, to which many answered quite often. The term spread internationally and evolved to mean something that frequently occupies one's thoughts. It has also morphed into a joke about how often people think about/mention the Roman Empire.",False
salty,"Used to describe someone who is behaving or expressing themselves in a resentful, bitter, or irritated manner.","Originally referred to ""racy"" or ""vulgar"" sailors in the 1800s.",False
Savage,"In slang, savage means sharp, bold, or spicy, usually used to describe a very bold, honest, even cruel comment or action, but in a cool way.",Example sentence: She had a savage comeback in the debate. (He gave a very scathing reply in the debate.),False
Say less,"A way of saying ""I understand""; you're so on board with what's being said that you don't need more information.","""Girls' night with ice cream and rom coms? Say less.""",False
Screenshot,"Digital screenshots used as evidence of a particular conversation, information, or moment.",Example sentence: Send me a screencap of that convo! (Send me a screenshot of that conversation.),False
Screencap,"Digital screenshots used as evidence of a particular conversation, information, or moment.",Example sentence: Send me a screencap of that convo! (Send me a screenshot of that conversation.),False
Scrolling,"Browsing or scrolling through content on the screen, this term is used for the habit of playing social media for hours.",Example sentence: I've been scrolling TikTok for hours. (I've been scrolling TikTok for hours.),False
SDIYBT,"Acronym for ""Start digging in your butt, twin.""",Used ironically.,True
Sending me,"Making you laugh, as in, sending you right over the edge of hilarity.","""Sending me"" originates from African American Vernacular English (AAVE) and social media culture, typically used to express that a person is laughing so hard they feel as though they are being ""sent"" into another dimension or off the edge of their seat. It is commonly used as a reaction to something humorous or shocking, often accompanied by the phrase ""I'm deceased"" or similar hyperbolic expressions.",False
Senior,"In the context of school/campus, senior means a final year student/student who is about to graduate.","Example sentence: She's a senior, graduating next spring. (He is a final student. Graduates in the spring.)",False
Serving,A compliment when somebody is looking good.,"Similar usage to ""ate.""",False
serving cunt,"To behave in a bold, confident, feminine manner.","Originating from ball culture and drag performance, the phrase ""serving cunt"" describes someone performing femininity with intense confidence, attitude, and visual impact. It is used as a high form of praise to signify that a person is looking or acting exceptionally fierce and authentic.",True
Shade,"Shade means subtle but spicy sarcasm, usually used to demean others without saying it directly.",Example sentence: That comment was pure shade. (That comment is very sarcastic.),False
sheesh,To praise someone when they are doing something good.,"The vowels are often emphasized, as in ""sheeesh"". The one being praised is to do the ""ice in my veins"" pose popularized by basketball player D'Angelo Russell. Believed to be a variation of another word such as ""jeez"", ""Jesus"", or ""shit"". First used in 1955 as a word to express ""disappointment, annoyance or surprise"".",False
Ship,"Ship comes from the word relationship, which means supporting or hoping that two people will become a couple. It can be used to refer to a real couple or a fictional character.",Example sentence: I totally ship them as a couple. (I actually support them being a couple.),False
shook,"To be shocked, surprised, or bothered.","Became prominent in hip-hop starting in the 1990s, when it began to be used as a standalone adjective for uncontrollable emotions. One famous example is Mobb Deep's 1995 single ""Shook Ones, Part II"".",False
Sick,"In slang, sick means really cool or extraordinary, not ""sick"" in the usual sense.",Example sentence: That trick you did was sick! (The trick you did was really cool!),False
Side hustle,"Side hustle means a side hustle outside of the main job, usually to supplement income or a hobby that makes money.",Example sentence: She started a side hustle selling handmade bags. (She started working on the side by selling handmade bags.),False
Sigma,"A term that originally referred to an unbothered male who plays by his own rules (i.e. not an alpha male or a beta male, but a sigma male).","""Sigma"" has expanded to use as a filler, nonsense word to inject into a phrase. ""What the sigma"" simply means, ""That's surprising!""",False
sigma,"A person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms.",Used predominantly by the manosphere. Can also mean something that is good.,False
sigma male,"A person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms.",Used predominantly by the manosphere. Can also mean something that is good.,False
Simp,"Simp is a slang term for a person who adores someone too much, is too busy, or overly idolizes someone to the point of being willing to do anything.",Example sentence: He's simping for his crush hard. (He's a bit of a jerk.),False
Sip tea,Mind one's own business.,"Usually means you don't want to get involved in the drama, but you have no problem watching it from the sidelines.",False
Sippin,"Enjoy a drink or a relaxing atmosphere. It is usually used when you are relaxing, hangout, or just chilling with friends.",Example sentence: We're just chillin' and sippin' lemonade. (We are relaxing while drinking lemonade.),False
Sippin' tea,"Well, if sippin' tea, it doesn't mean drinking tea. This phrase means to silently observe gossip or drama, without interfering. It is usually used on social media to show our position as netizens.",Example sentence: I'm just sippin' tea and watching the drama unfold. (I just kept silent while observing the drama that happened.),False
Sis,"It's literally an abbreviation for ""sister,"" but can also be used as a term of familiarity or as a filler word.","""Sis"" originated in African American Vernacular English (AAVE) as a term of endearment within the Black LGBTQ+ community, later entering mainstream slang to signal solidarity, emphasis, or casual familiarity with anyone regardless of their actual gender.",False
situationship,"Refers to an ambiguous romantic relationship in which both parties have feelings for one another, but said feelings are not clearly defined: a mid-point between dating and not dating.","The term ""situationship"" emerged in the mid-2010s to describe the rise of casual, label-free dating culture facilitated by modern dating apps. It is used specifically to articulate the frustration of being in an undefined romantic limbo that lacks the commitment of a relationship but involves more emotional intimacy than a typical hookup.",False
six seven,"A nonsense word derived from the song ""Doot Doot (6 7)"" by Skrilla.",Inspired multiple numerical meme variants. Originating from TikTok.,False
Skibidi,"A nonsense word that can mean cool, silly, or dumb.","A reference to the popular YouTube series ""Skibidi Toilet.""",False
skill issue,Refers to a situation where a person's lack of ability or proficiency is seen as the cause of their failure or difficulty in completing a task.,"Originating in the competitive gaming community, the term is used to dismiss someone complaining about a difficulty by sarcastically suggesting they simply lack the necessary talent or practice to succeed. It serves as a blunt, mocking way to deflect blame away from the game mechanics or external factors and onto the individual's lack of ""skill.""",False
Skive,Skive is a slang of English origin that means skipping work or school for a contrived reason.,Example sentence: He skived off work to go to the beach. (He skipped work to go to the beach.),False
sksksk,Used to convey happiness/laughter.,"A form of keysmashing. The earliest known usage is by Brazilian users on Twitter. Used by various British, African-American, and gay communities before becoming associated with stan Twitter in 2019. Became associated with VSCO girls. Similar forms can be found regionally, like the Indonesian ""Wkwkwk"" or the Korean ""kkkk"".",False
Skull emoji 💀,"Replacement for the phrase ""I'm dying"", representing laughter or when something is unhinged.","The skull emoji originated as a visual shorthand for being ""dead"" from laughter, evolving from the internet slang ""I'm dying."" It is now widely used to express that something is hilarious, absurd, or so shocking that it is metaphorical ""killing"" the user.",False
Slack off,"Slack off means being lazy, unfocused, or avoiding work/study seriously.","Example sentence: He's been slacking off in class lately. (Lately, he likes to laze around in class.)",False
Slaps,Something that's really great.,"""That new song slaps.""",False
Slay,"In modern slang, slay means to do something very good, cool, or impressive. It is often used to compliment a person's appearance, performance, or work.",Example sentence: You slayed that performance! (Your looks are so cool!),False
Sleep on,To be unaware of something's greatness.,"""You gotta quit sleeping on this breakfast burrito place bro, it's fire.""",False
Slide into the DMs,"A phrase meaning to send a private message to someone on social media, usually with a romantic or sexual intention. DM stands for direct message.",Example:*He slid into my DMs last night. I'm going to slide into her DMs and ask her out.*,False
Slim thick,"This is the ""ideal"" body type in today's culture.","It's a girl with an hourglass figure: tiny waist and flat tummy, but bigger boobs, butt, and thighs.",True
thicc,"This is the ""ideal"" body type in today's culture.","It's a girl with an hourglass figure: tiny waist and flat tummy, but bigger boobs, butt, and thighs.",True
slop,"Low-quality internet content, particularly that which was created by generative artificial intelligence.","The term ""slop"" originated from agricultural slang for low-grade animal feed, and it has been adopted by Gen Z to describe repetitive, soulless AI-generated content that is mass-produced for easy consumption. It is used dismissively to characterize such media as low-effort, synthetic, and lacking human value.",False
Smacks,"Something that is really good, often used to describe food.","""This Chik-Fil-A smacks!""",False
Smash,To have casual sex.,"The term ""smash"" originated in African American Vernacular English (AAVE) and was popularized in mainstream pop culture through the 2009 song ""Say Aah"" by Trey Songz. It is commonly used in casual dating contexts to ask if someone is interested in having a hookup or sexual encounter.",True
SMH,Shaking my head.,"""SMH"" originated in early internet forum and chat culture as a way to express disappointment, disapproval, or disbelief. It is commonly used today to convey a sense of judgment or exhaustion regarding someone's actions or a ridiculous situation.",False
Smol,"The online variation of the word ""small.""","""Smol"" originated in internet subcultures, particularly on platforms like Tumblr and Reddit, to describe small, cute, or harmless things, often accompanied by pictures of animals or babies. It is typically used with a playful, affectionate tone to emphasize diminutive size.",False
Snack,"Calling someone a snack means that the person is very attractive or tempting, as if it is ""good"" to look at like food. It is usually pronounced in a whimsical tone.","Example sentence: He looks like a whole snack. (She looks so cute, so cute.)",False
Snap out of it,"This phrase means ""be aware"" or ""let's go back to reality"", usually used to awaken a person from daydreams or negative emotions.","Example sentence: Snap out of it, you can't keep crying forever. (Remember, you can't cry all the time.)",False
snatched,"Amazing, attractive, or flawlessly styled.",Sometimes used to particularly describe a person as having a narrow waist.,False
Sod it,"Slang from English meaning ""let it go"", ""stupid time"", or ""give up"". It is usually used when someone doesn't care.","Example sentence: Sod it, I'm not doing this anymore. (Sorry, I don't want to do that anymore.)",False
Sophomore,Sophomore is a slang term in America for sophomores (or 2nd graders of high school).,Example sentence: She's a sophomore majoring in biology. (He is a sophomore in the Biology Department.),False
Spam,"Spam means repetitive messages that are unwanted or annoying. It can be promotional emails, ads, or too many chats.",Example sentence: He keeps spamming the group chat with memes. (He constantly spams memes in group chats.),False
Spill,"Spill means sharing stories, gossip, or information. Often used with the addition of ""the tea"" (spill the tea) which means to leak gossip.",A word of caution: Spill! I need to know what happened. (Quick story! I should know what happened.),False
Spit it out,"This phrase means ""let's just say it quickly"" when someone is too silent or hesitant to speak.","Example sentence: Come on, spit it out! What's the secret? (Come on, hurry up! What's the secret?)",False
Squad,Slang for a gang or group of close friends who often hang out or do things together.,Example sentence: Going to the movies with the squad tonight! (Want to watch a movie with my friends (my gang) tonight!),False
Squad goals,"Well, if this slang is used to admire a group of friends/gangs that look compact, cool, or ideal.",Example sentence: Their friendship is serious squad goals. (Their friendship is truly envying.),False
Squad up,Invite friends to gather or create a team. Often used in the context of games or hanging out.,Example sentence: Let's squad up at the park later! (See you in the park this afternoon!),False
Stack up,"Compare abilities, performance, or positions (positions) with others. Often used as slang in the workplace.",Example sentence: How do I stack up against other applicants? (How does my ability compare to other applicants.),False
stan,Supporting something to an extreme degree.,"Specifically used in cases of overzealous or obsessive support of celebrities, originating with the eponymous song by Eminem.",False
Standing on business,To double-down on something or stay strong in your conviction.,"""Standing on business"" originated in African American Vernacular English (AAVE) and implies acting with integrity, reliability, and firmness regarding one's decisions or actions. It is used to describe someone who maintains their stance or follows through on their promises without wavering, regardless of the situation.",False
Stealthing,Secretly removing one's condom during sex.,"""Stealthing"" originated as a term within sexual health and legal advocacy circles to describe the non-consensual act of removing a condom during intercourse without a partner's knowledge. It is widely considered a form of sexual assault and a violation of consent rather than standard slang.",True
Study buddy,"This means that a study friend, or someone who is often invited to study together, is usually ahead of an exam or doing an assignment.",Example sentence: I need a study buddy for the finals. (I need a friend to study for the final exam.),False
Subtweet,To passive-aggressively call someone out on Twitter without actually tagging them.,"A ""subtweet"" originated on Twitter (now X) as a way to criticize or mock someone indirectly to avoid a direct confrontation. By omitting the target's handle, the user maintains plausible deniability while signaling the message to their followers and the intended recipient.",False
sus,Short term for suspect/suspicious.,"Popularized in 2018 by players of the online video game Among Us and received mainstream usage with the game's explosion in popularity in mid-2020 amidst the COVID-19 pandemic. According to Merriam-Webster, the term has been in use among English speakers since at least the 1960s.",False
sussy baka,"A combination of ""sus"" and ""baka"", the Japanese word for ""fool"".",Stemmed from TikToker Akeam Francis.,False
Swole,Slang for someone who has big muscles or has a burly body due to frequent workouts in the gym. It is usually used to compliment someone who looks very fit.,"Example sentence: He's been hitting the gym, look how swole he is!(He's a bit of a jerk, but he's a bit of a jerk!)",False
sybau,"Acronym for ""shut your bitch ass up"".","""Sybau"" is an acronym for ""shut your bitch ass up,"" primarily used in digital spaces and social media to rudely dismiss someone or tell them to stop speaking. It emerged as a shorthand to save characters and speed up communication during confrontational online exchanges.",True
syfm,"Acronym for ""shut your fucking mouth"" originally a meme taken from the movie Bronson.","The term ""syfm"" serves as an aggressive, dismissive retort used to tell someone to be quiet or stop talking. It originates from a viral scene in the 2008 film *Bronson*, where the titular character fiercely demands silence, later becoming a popular reaction meme on platforms like TikTok and Twitter.",True
TA,"TA stands for Teaching Assistant, which is a lecturer's assistant on campus. Usually this term is used for graduate or senior students who help lecturers teach, check assignments, or accompany practicums.",Example sentence: The TA will help you with the lab work. (Assistant lecturers will help you practice in the lab.),False
Take it easy,"Just relax, don't stress, or be careful. It can be used to calm someone down or as a farewell greeting.","Example sentence:Take it easy, everything will be fine. (Don't worry, everything will be fine.)
See you tomorrow, take it easy! (See you tomorrow, take care of yourself!)",False
Take the L,Take the loss.,"Can be used in any situation where one comes out behind. Antonym: W (pronounced ""dub""); ""That's a W!""",False
TBH,To Be Honest.,"""TBH"" originated in early internet chat culture and remains widely used in texts and social media to signal that the speaker is sharing a candid opinion or genuine feeling. While it is not exclusive to Gen Z, it is frequently used by them in ""tbh polls"" on platforms like Instagram to solicit or provide honest feedback about friends.",False
tea,Secret information or rumors.,"Originates from Black drag culture of the 1990s, where the letter ""t"" was used to mean ""truth"". ""Spilling the tea"" means to share gossip or rumors. Another meaning was popularized on TikTok, using 'tea' when referring to a person, action, outfit, or thing to mean it's fab, cute, iconic, etc.",False
TFW,That feeling when.,"""TFW you accidentally spill your Venti Frap all over your car.""",False
Thicc,"Used to describe a woman who is attractive, typically because she has curves in all the ""right"" places.","Can be used jokingly about other things, like food or pets.",False
Think outside the box,"Think creatively, looking for unique ideas out of the ordinary. It is commonly used in the world of work or business, when thinking of ideas for projects, campaigns, or promotions.",Example sentence: We need to think outside the box for this campaign. (We need creative ideas out of the ordinary for this campaign.),False
Third wheel,"A term for a third person who participates when two people are dating or dating, so it makes it uncomfortable.",Example sentence: I felt like such a third wheel last night. (I felt like I was the third person last night.),False
Thirst trap,"A sexually explicit or suggestive photograph, video, or message posted on social media that incites others to comment/DM with their interest/attraction.","The term ""thirst trap"" originated in the early 2010s to describe social media content intended to lure others into expressing ""thirst,"" or intense romantic or sexual desire. It has since become a standard term for any provocative post designed to gain attention and validation from an audience.",True
Thirsty,"In slang, thirsty means too eager to seek attention or thirsty for validation, both on social media and in real life.",Example sentence: She's acting thirsty just to get noticed. (He was very attentive to be noticed.),False
Throwing hands,"This phrase means ready to fight physically. It is usually used in the context of a joke, but it can also be serious.",Example sentence: They were about to throw hands over a game. (They almost fought because of the game.),False
Touch base,"A phrase that is often used in the business sphere, which means to call or chat briefly to update information.","Example sentence: Let's touch base tomorrow to finalize the plan. (Come on, let's talk again tomorrow to finalize the plan.)",False
touch grass,"A way of telling someone to ""go outside"", usually after said person is believed to have been online for too long.","Believed to have originated in 2015, before experiencing a resurgence in 2020--2021.",False
Troll,"The term is for people who like to harass or provoke emotions on the internet, usually through provocative or hurtful comments.",Example sentence: He's just trolling to get attention. (He was just trying to get attention in a distracting way.),False
troon,A slur for transgender women.,"It is a portmanteau of the words ""trans"" and ""coon"".",True
truth nuke,"An impactful telling of factual, or sometimes opinionated, information.","A ""truth nuke"" originates from internet culture, specifically social media debates, to describe a piece of information so devastatingly factual that it effectively ends an argument. It implies that the statement has ""obliterated"" the opposing perspective, leaving no room for further rebuttal.",False
ts,"An abbreviation for ""this shit"".","Also often used as a short form of ''this''. It is also used to mean ""type shit"" --- an agreement. Often accompanied by pmo and icl.",True
tuff,Eye dialect spelling of tough.,"Commonly meaning something or someone is cool or impressive, this spelling of it is mostly seen on TikTok.",False
Tweakin,"Saying or doing something that's off or doesn't seem to make sense, thus causing an overreaction.","""My mom was tweakin on me when I missed curfew last night."" Comes from the behavior exhibited by someone under the influence of drugs.",False
tweaking,To be acting strangely or thinking that someone is hallucinating.,"""Tweaking"" originated in drug subculture to describe the erratic, hyperactive behavior induced by stimulant use, but Gen Z now uses it to call out someone for acting irrationally, being overly dramatic, or losing their composure.",True
twin,"A term of endearment for a close friend, indicating a strong, sibling-like bond.","""Twin"" originated from Black American Vernacular English (BAVE) and hip-hop culture, where it is used to describe a friend so close, like-minded, or similar in style that they are considered an extension of oneself. It is now widely used on social media to express deep platonic devotion or ""ride-or-die"" status.",False
unalive,"A euphemism for the word ""kill"" or other death-related terms, often in the context of suicide.","This word is often used to circumvent social media algorithms, especially YouTube and TikTok, from censoring or demonetizing content that involves death-related terms.",True
unc,Abbreviation of uncle.,Used in a mocking manner to refer to someone who is old or acting old. Originated in African American English in the early 2000s.,False
understood the assignment,To understand what was supposed to be done; to do something well.,"Popularized by American rapper Tay Money's 2021 song ""The Assignment"". She posted a video on TikTok stating that she ""understood the assignment"".",False
Unfriend,A term that is commonly used when we unfriend on social media.,Example sentence: I decided to unfriend inactive accounts. (I decided to unfriend inactive accounts.),False
Unplug,"Take a break from technology, gadgets, or the virtual world, usually used when you want to calm down.",Example sentence: I need to unplug this weekend. (I need a break from gadgets this weekend.),False
uwu,Used to portray happiness or one wanting to appear cute.,"Used more or less as an expression. Originated in the 2000s as an emoticon, with U's capitalized: UwU. The expression is commonly associated with e-girls, furries, femboys, and anime fandoms.",False
V,Very.,"""I'm v excited to binge my fav Netflix show.""",False
vaguepost,"A social media post that is intentionally cryptic or ambiguous, often for the purpose of engagement farming.","The term ""vaguepost"" originated in the mid-2000s within early blogging and forum communities as a way to describe frustrated or emotional status updates that withheld specific names or details to bait followers into asking for more information. Today, it is primarily used to identify social media content designed to stir drama or manipulate engagement by leaving the audience guessing about the subject’s intentions.",False
Vanilla,Another iteration of basic.,"Derived from the flavor of ice cream often associated with being plain or unadventurous, ""vanilla"" is used to describe someone or something as boring, conventional, or lacking in unique personality. It is often applied to romantic preferences, aesthetics, or lifestyle choices that are perceived as mainstream and unexciting.",False
Vibe,"Slang to describe the atmosphere, general feeling, or perceived energy of a person/place.",Example sentence: This café has such a good vibe. (This café has a very good atmosphere.),False
Vibe check,"Slang is popular among Gen Z, which means assessing or examining the atmosphere, energy, or feelings of a person, group, or situation in general, often through social media or everyday conversations.","Example sentence: This place passes the vibe check. (This place is really good, the vibes are just right.)",False
Vibing,"Updated slang for ""chilling"" or ""chilling out"".",It means just hanging out and having fun.,False
straight vibing,"Updated slang for ""chilling"" or ""chilling out"".",It means just hanging out and having fun.,False
Viral,Content that spreads widely and fast on the internet.,Example sentence: Her dance video went viral overnight. (The dance video went viral in the evening.),False
vro,Genderless synonym for bro.,"""Vro"" originated as a phonetic variation or stylistic misspelling of ""bro,"" often used in hip-hop culture and popularized via social media. It functions as a gender-neutral term of endearment or a casual way to address a friend.",False
W,"Short for ""win,"" used to indicate success, victory, or something positive.","Often contrasted with ""L"" (loss).",False
Walrus,"It can be used to refer to someone who is fat and short, usually in a mocking tone. This slang is offensive, so be careful when using it.","Example sentence: They used to call him walrus because of his shape. (They used to call him a ""walrus"" because of his body shape.)",False
Wangle,English slang meaning to get something by cunning or lucky.,Example sentence: She always manages to wangle her way out of trouble. (He always manages to get out of trouble in a cunning/lucky way.),False
washed,"To be no longer successful, popular, or skilled.","""Washed"" is derived from the phrase ""washed up,"" which has long been used to describe someone whose peak career years are behind them. In modern Gen Z slang, it is frequently used in gaming and sports culture to criticize a player who has lost their competitive edge or ability.",False
Weird flex but ok,A sassy or sarcastic response to someone showing off or bragging online.,Also used humorously.,False
WFA,"WFA stands for Work From Anywhere, which means you can work from anywhere as long as you have internet access.",Example sentence: I love my job because it's WFA. (I love my job because I can work from anywhere.),False
WFH,"WFH stands for Work From Home, which is working remotely from home.",Example: I'm still WFH on Fridays. (I still work from home every Friday.),False
WFO,"Well, if WFO stands for Work From Office, it means working directly from the office.",Example sentence: We're required to be WFO three days a week. (We are required to work in the office three days a week.),False
Whip,Car.,"The term ""whip"" originated from 1980s hip-hop culture, where it referred to the steering wheel—literally the ""whipping"" mechanism—used to control a luxury vehicle. Today, it is widely used in Gen Z slang to describe any car, particularly one that is stylish or high-performance.",False
who is this diva,"An affectionate rhetorical question used to compliment people who positively embody diva-like qualities such as boldness, style, and/or confidence.",Sometimes used with a purple heart emoji at the end. Originated from TikTok.,False
Wig,"Basically a shorter version of ""wig snatched,"" mostly used in appraisal of something or someone, especially of celebrities.",It's as if you're so blown away by something that your wig literally falls off.,False
Wig snatched,"To be amazed, blown away, caught off guard, or shook by something.",Originates from drag queen culture. Often used in reference to an attractive person.,False
Wild,"A synonym for ""shocking.""","If used to describe a person, it can mean ""hilarious"" or ""weird"" as well. ""YOU JUST MET KENDRICK LAMAR THAT'S SO WILD."" ""She wylin'.""",False
